username,email,first_name,last_name,identity_card_number,nip,date_of_birth,pesel,phone_number,iban
kmazurek53,kmazurek+53,Jędrzej,Miszkiel,EAY411565,4778101974,1976-05-31,76053123591,601733136,PL10137108251074877758332786
kmazurek54,kmazurek+54,Dawid,Zbiciak,ZBR278606,9985586230,1947-05-13,47051397929,888699790,PL33830948637265046659663067
kmazurek55,kmazurek+55,Tobiasz,Okła,BUS687905,6193976965,1994-01-11,94011118939,696009722,PL64529008132524799740555326
kmazurek56,kmazurek+56,Anita,Bancerz,WJK375648,5893365341,1944-10-11,44101157166,570432881,PL53438563368899688140610984
kmazurek57,kmazurek+57,Elżbieta,Misiurek,MYQ948094,2273128651,1969-08-21,69082117604,723337052,PL47869372111370375647809373
kmazurek58,kmazurek+58,Ksawery,Orkisz,VUX535494,9548492614,1947-05-31,47053121636,691421965,PL37438261246879359237682695
kmazurek59,kmazurek+59,Michał,Indyk,DKT351212,1429949836,1978-11-29,78112987555,571447455,PL67669442394147013923860777
kmazurek60,kmazurek+60,Kornelia,Sroga,CPO867657,5753494802,1983-02-16,83021629872,516015388,PL93360326690970605438861749
kmazurek61,kmazurek+61,Ida,Saj,TVA094461,1318893127,1940-11-23,40112386689,735264030,PL74826761765937061703215877
kmazurek62,kmazurek+62,Szymon,Sypek,RSK835704,6642712432,1969-05-05,69050552622,796351020,PL77048710932637411005940473
kmazurek63,kmazurek+63,Daniel,Świech,MZT064028,4859525201,1951-05-07,51050709500,720502605,PL90622770991724122908704227
kmazurek64,kmazurek+64,Elżbieta,Żuchowicz,MNP084640,6521203393,1984-10-25,84102550865,328009865,PL41789664114637705189015530
kmazurek65,kmazurek+65,Kornel,Knapek,XAG769236,6575157255,1939-11-28,39112875639,725072934,PL49919604879544816789095297
kmazurek66,kmazurek+66,Krystyna,Strama,CSC309080,5758720321,2002-12-18,02321854313,222792261,PL58127672056995964238524345
kmazurek67,kmazurek+67,Bartek,Szylar,LVI874298,8689206320,1950-07-16,50071692644,511285365,PL94999869430001675395332824
kmazurek68,kmazurek+68,Gustaw,Machowicz,JUE838356,7939607196,1988-08-18,88081873470,329982503,PL38008833546453941632751132
kmazurek69,kmazurek+69,Michał,Przystupa,HQY532386,6017523208,1937-08-19,37081988824,512278138,PL68715138688761070194491169
kmazurek70,kmazurek+70,Przemysław,Salomon,ZAT255833,4777875538,1959-04-23,59042332194,726428406,PL74149205292461581649700164
kmazurek71,kmazurek+71,Artur,Dumała,BFZ815542,3942748303,1972-09-28,72092850944,577341678,PL02600753551882223212262926
kmazurek72,kmazurek+72,Julianna,Sady,UGB578805,8380029409,1968-11-14,68111444960,669004467,PL85535520345740753937416355
kmazurek73,kmazurek+73,Sandra,Wojcik,PXL871074,2981222059,1991-12-10,91121048439,573333758,PL09892442142236616799127816
kmazurek74,kmazurek+74,Julianna,Komisarczyk,STP767471,5149480381,1955-06-01,55060188661,796398228,PL94197636046274397913848101
kmazurek75,kmazurek+75,Krzysztof,Kostera,PAV179955,2328604622,1938-02-16,38021647418,572943686,PL37023532780280768362279895
kmazurek76,kmazurek+76,Józef,Pyza,JSQ894778,8158295242,1998-03-29,98032927158,229423559,PL02540079721578694386467622
kmazurek77,kmazurek+77,Sonia,Pakosz,JNM834720,8319906226,1932-01-13,32011342914,692239915,PL40714213388664263256175645
kmazurek78,kmazurek+78,Blanka,Radko,MFZ379012,7126253292,1960-04-29,60042981981,572655384,PL94462347637068561499442214
kmazurek79,kmazurek+79,Wiktor,Styrna,LFY104931,3548709855,1977-05-26,77052619115,223689289,PL31403966371000367736229420
kmazurek80,kmazurek+80,Aurelia,Tatarczyk,YKW114107,3281238975,1942-01-22,42012260964,736044003,PL63881477432059582509594288
kmazurek81,kmazurek+81,Wiktor,Morawiak,MOF850945,7674167234,1993-02-12,93021294978,601716670,PL35744207943109749151692960
kmazurek82,kmazurek+82,Kornel,Geisler,RSX744339,8250661310,1999-01-01,99010115628,669690992,PL42483120165184339022116066
kmazurek83,kmazurek+83,Sonia,Kujawiak,MTM709320,2575730445,1998-09-01,98090179249,734548572,PL26584708404757132592664700
kmazurek84,kmazurek+84,Eliza,Trochim,QKL602272,9648658178,1978-03-02,78030233275,727484161,PL17504023664800399367932177
kmazurek85,kmazurek+85,Rafał,Kiszczak,HYX894003,5347468831,1963-10-24,63102460545,606514471,PL45669418482202734531391425
kmazurek86,kmazurek+86,Wojciech,Grochowina,PMS874017,3028627482,1935-05-07,35050795961,573315913,PL26242196388487598277604320
kmazurek87,kmazurek+87,Daniel,Filek,UUM542782,1796061953,1983-08-18,83081874599,532710817,PL80698402921048591608859678
kmazurek88,kmazurek+88,Bianka,Wałdoch,ISI511043,8219823831,1974-04-11,74041158301,724059866,PL52838820003562468603601124
kmazurek89,kmazurek+89,Andrzej,Łuczka,AHH782711,3830087782,1956-08-15,56081558767,514874251,PL88181258035891240100407211
kmazurek90,kmazurek+90,Kaja,Darul,WRN559692,6821697318,1956-09-28,56092802392,721413162,PL88740206783579277563447153
kmazurek91,kmazurek+91,Tymoteusz,Sypek,VAD499651,2346974789,1999-03-09,99030997899,516725050,PL48414523094176454499175467
kmazurek92,kmazurek+92,Tola,Tylec,UKI152129,4578920035,1979-11-12,79111271753,798248880,PL93898103547789913400602371
kmazurek93,kmazurek+93,Dawid,Łyczek,RAF561703,7437388628,1934-03-25,34032588096,786948881,PL23920109472815770107828477
kmazurek94,kmazurek+94,Norbert,Świętoń,TOA376959,7512996880,1950-06-28,50062801778,225697120,PL83984137830309073883954827
kmazurek95,kmazurek+95,Krystian,Węgier,JJG396448,3630643824,1967-02-06,67020669431,736872933,PL22542432571329223499830880
kmazurek96,kmazurek+96,Piotr,Paździora,DVO285056,4516403148,1932-04-04,32040460827,539565861,PL46320343404462076925254486
kmazurek97,kmazurek+97,Robert,Bernard,LXR238433,6010670395,1964-03-04,64030435441,222807908,PL26393537521909840976418188
kmazurek98,kmazurek+98,Aurelia,Bździuch,GOF876613,3954041271,1964-11-22,64112210704,668373574,PL15650736894851901328118087
kmazurek99,kmazurek+99,Melania,Sapała,UBO200843,4942387395,1947-03-19,47031977794,507317824,PL56209816766102306222857943
kmazurek100,kmazurek+100,Marcelina,Łyp,HVC963949,3538698647,1993-07-05,93070560309,734736732,PL89987022565496033853082481
kmazurek101,kmazurek+101,Maurycy,Drgas,SCV445796,9485850422,1944-03-26,44032609402,697593746,PL77653745899700578680513499
kmazurek102,kmazurek+102,Błażej,Czosnyka,SAS003788,9572928334,1957-06-14,57061470206,504853542,PL57479385341859329839366780
kmazurek103,kmazurek+103,Melania,Karol,WIK545190,5390016269,1997-06-06,97060647236,739326635,PL52779580695079871392100181
kmazurek104,kmazurek+104,Malwina,Uroda,PYE303322,1224005497,1943-08-21,43082188026,787955172,PL58375576188173998055787039
kmazurek105,kmazurek+105,Oliwier,Nowotnik,TQU179019,4983790596,1957-07-06,57070683963,518305276,PL70292335538528890462285815
kmazurek106,kmazurek+106,Kamila,Leszczak,DMY112869,8586185552,1987-12-22,87122269265,783945725,PL44326818698602565772883824
kmazurek107,kmazurek+107,Jędrzej,Turlej,LJM316406,7265803690,1947-06-03,47060343533,665871730,PL41586974089769504936594172
kmazurek108,kmazurek+108,Tymoteusz,Saczuk,MKN371167,4622415440,1995-10-09,95100956515,666377801,PL49054634918914280736863448
kmazurek109,kmazurek+109,Stanisław,Zatoń,DNG982111,3563074409,1959-08-18,59081856521,792133146,PL68736408883933335581189062
kmazurek110,kmazurek+110,Liwia,Masny,FNA357311,1130755737,1975-06-21,75062192541,794671947,PL63212635130255573354502831
kmazurek111,kmazurek+111,Marika,Sztuba,SXX099646,3520728241,1934-12-10,34121097324,512073545,PL63232396372564320351275729
kmazurek112,kmazurek+112,Cezary,Niesporek,CKB128925,3595881030,1962-10-16,62101673778,781440936,PL74038131082361536889896026
kmazurek113,kmazurek+113,Norbert,Steciuk,ZPM350116,1474336746,1999-07-17,99071747305,603728717,PL84219438880218519325425746
kmazurek114,kmazurek+114,Oliwier,Herba,XVW636616,6048078465,1958-01-20,58012027256,723886925,PL85980568181479070726861560
kmazurek115,kmazurek+115,Jakub,Kalisiak,XUI616680,2850901966,1991-09-25,91092514526,733920289,PL34439362305066983728808957
kmazurek116,kmazurek+116,Inga,Ludwiniak,YVS344684,6458605148,1979-04-25,79042591087,780186651,PL58249087198708733434719129
kmazurek117,kmazurek+117,Daniel,Pyrkosz,NEX300560,9898336547,1953-04-17,53041766033,734401684,PL49488967484667944075599529
kmazurek118,kmazurek+118,Iwo,Solarek,LKO942709,2174217297,1951-02-26,51022600288,796075072,PL37330006733069184755515613
kmazurek119,kmazurek+119,Karina,Pałęga,IEG916206,7636069682,1951-05-22,51052270437,883846429,PL97188900418368150208690159
kmazurek120,kmazurek+120,Kornelia,Janka,ZZI346221,9830600136,1963-07-12,63071272565,322765065,PL75986845150400557558455587
kmazurek121,kmazurek+121,Jerzy,Feluś,MEO667849,6091405986,1966-03-11,66031110923,227550957,PL21415156288759843698703337
kmazurek122,kmazurek+122,Piotr,Smolec,OCN770937,1345022922,1958-04-12,58041276173,327752854,PL30807282025455426824085003
kmazurek123,kmazurek+123,Aniela,Szott,EYH649857,7749588136,1949-10-11,49101154120,791555033,PL92050729348179455410203136
kmazurek124,kmazurek+124,Dorota,Raźniak,BSF820992,6633001849,1983-12-25,83122530574,604815254,PL31336465104839183062092592
kmazurek125,kmazurek+125,Nikodem,Siedlaczek,PSB018656,6294553522,2003-11-17,03311748672,572512808,PL93723807511118668372293554
kmazurek126,kmazurek+126,Ida,Drwięga,NXI076669,1936010632,1996-04-27,96042725579,507632242,PL26632875838888266650852255
kmazurek127,kmazurek+127,Tymon,Pośnik,PQZ190985,4985587497,1981-02-23,81022325889,886517022,PL51530602750634027062576743
kmazurek128,kmazurek+128,Sara,Rogula,QBO305209,4421982310,1971-06-18,71061873265,322313958,PL76839041164812080640235911
kmazurek129,kmazurek+129,Leonard,Mądrzak,DZO145176,9542179661,2004-04-03,04240367516,511095817,PL61350334164923368784115127
kmazurek130,kmazurek+130,Anita,Karwan,FMM979365,8246104313,1974-03-31,74033105324,786798782,PL54202597635877517937361623
kmazurek131,kmazurek+131,Mateusz,Madera,KXZ306339,1493635875,1953-02-13,53021306080,501343912,PL21609682933536275428977202
kmazurek132,kmazurek+132,Marika,Taranek,VKY869730,4232005355,1996-01-20,96012074076,695091698,PL17014166136258927610107972
kmazurek133,kmazurek+133,Sonia,Pelka,XOT331755,6623710395,1958-11-19,58111906164,515054327,PL13165435220399236971006860
kmazurek134,kmazurek+134,Sebastian,Słoń,JVU063805,6996005643,1941-10-10,41101039898,603535226,PL35523231866605434646311736
kmazurek135,kmazurek+135,Przemysław,Wąsala,AGP755846,6051732880,1983-03-20,83032092775,609724714,PL49887759142221330596475642
kmazurek136,kmazurek+136,Kacper,Sobolak,JRO000255,5643814619,1950-05-30,50053034390,607983703,PL51663943067660684257291668
kmazurek137,kmazurek+137,Dawid,Bartela,IAK547837,6418086133,1999-07-28,99072840120,795129141,PL46299763833087212106967946
kmazurek138,kmazurek+138,Alan,Draus,ZYJ161871,8676112692,2000-02-02,00220252993,789498788,PL08230524329579869994199256
kmazurek139,kmazurek+139,Marcelina,Ciołczyk,DLH356519,7396270171,2000-09-27,00292710654,735645261,PL63483307450973085156028023
kmazurek140,kmazurek+140,Aniela,Broncel,ZRA449665,8932694784,1956-12-04,56120416542,576477063,PL23085631501965973160686410
kmazurek141,kmazurek+141,Józef,Radke,EZL219042,7174272264,1954-08-21,54082134993,793876343,PL81992222031470371061048867
kmazurek142,kmazurek+142,Mieszko,Macioł,QGB141173,5734492417,1978-08-06,78080604942,222845518,PL16361745622840610636120088
kmazurek143,kmazurek+143,Antoni,Surdel,WWD470624,8320388932,1969-07-31,69073100077,517859887,PL23435326599336556359014526
kmazurek144,kmazurek+144,Urszula,Pawela,FKJ202107,7510270943,1967-08-21,67082100372,720363302,PL46371393934555321478345185
kmazurek145,kmazurek+145,Marika,John,QIW722036,5294371200,1932-08-25,32082532348,535070050,PL68549115152369122867312742
kmazurek146,kmazurek+146,Konrad,Głuszko,CRI794977,4510300766,1936-10-02,36100276713,734865716,PL52190702712412106648628840
kmazurek147,kmazurek+147,Natan,Chorążewicz,JTK243887,3656614519,1953-02-04,53020402497,504340570,PL81247170846184315393704292
kmazurek148,kmazurek+148,Adrianna,Staniczek,PCT688459,5533896042,1969-06-15,69061555748,888049383,PL43766449909176681794550661
kmazurek149,kmazurek+149,Kajetan,Hadaś,YAR705788,4798448238,1983-06-19,83061989547,506924225,PL97793053600387191055037547
kmazurek150,kmazurek+150,Ida,Fabiszak,RDJ388024,5033378864,1938-02-22,38022280766,222972185,PL74472714745580670983608838
kmazurek151,kmazurek+151,Ewa,Szyjka,JXN597552,3996539751,1984-08-31,84083194904,691650003,PL88590859218264188883593752
kmazurek152,kmazurek+152,Ksawery,Uliczka,MRP173883,5937299430,1987-11-23,87112376995,727892746,PL98063550902261684475529119
kmazurek153,kmazurek+153,Alan,Bartela,RYS646823,4240395715,1975-06-26,75062634427,574276645,PL54867571145361409418457831
kmazurek154,kmazurek+154,Sonia,Karalus,ZAX500711,4282629431,1969-02-20,69022029767,796528183,PL35612679877160709802344485
kmazurek155,kmazurek+155,Urszula,Hyży,KNN133184,5726019936,1956-03-03,56030372455,535346100,PL93293476492306745362727579
kmazurek156,kmazurek+156,Justyna,Niksa,OAL855450,6581772901,1962-10-21,62102121362,720568001,PL40687173241356028612979109
kmazurek157,kmazurek+157,Monika,Węgier,CJN584698,6055197917,1975-01-27,75012760585,723219808,PL70334359224956849163908220
kmazurek158,kmazurek+158,Gaja,Kozok,NAA377808,8410618494,1977-09-04,77090484649,533040111,PL79634226350260722303190370
kmazurek159,kmazurek+159,Jakub,Gołofit,SML974566,4794607579,1953-07-10,53071055255,796564954,PL06740066140559220180082323
kmazurek160,kmazurek+160,Nicole,Pabisiak,ILU352838,9571400163,1975-07-12,75071234728,578432556,PL16912037771087587522792562
kmazurek161,kmazurek+161,Piotr,Kręcichwost,WOE612757,9357800766,1977-03-21,77032111707,797806978,PL44491688645409994122228313
kmazurek162,kmazurek+162,Ignacy,Augustynek,AHK643796,3526100532,1980-10-27,80102764844,795489973,PL42772206207810172720984626
kmazurek163,kmazurek+163,Mateusz,Szołtysik,ZSW070859,9450766132,1961-03-26,61032662844,225768225,PL56317493827638026566999891
kmazurek164,kmazurek+164,Leon,Jakubiuk,RDV672990,5441593204,1991-10-14,91101458773,735357464,PL56616576178391153404103186
kmazurek165,kmazurek+165,Dagmara,Baś,WDH625168,1864665044,1963-07-25,63072576743,739690007,PL26505780149226487981022635
kmazurek166,kmazurek+166,Nela,Bok,LHS432166,8215876322,1986-10-04,86100497092,783856933,PL16851522929551050870969971
kmazurek167,kmazurek+167,Angelika,Zaniewicz,LGC942545,3383922238,1947-12-27,47122772659,794152891,PL30039475542278864670329777
kmazurek168,kmazurek+168,Gaja,Dydo,ORI763184,1654771082,1946-12-13,46121391018,668087972,PL80639633489684384199656565
kmazurek169,kmazurek+169,Blanka,Rurka,ISN426508,4438044757,1939-01-24,39012421950,660498974,PL35094152224106903329575279
kmazurek170,kmazurek+170,Michał,Wołkowicz,IBX108315,3867732210,1950-07-02,50070207881,798387464,PL67879248816719667693651427
kmazurek171,kmazurek+171,Robert,Małycha,SWI393225,3413641404,1956-06-22,56062228771,882171252,PL68140182622856397204953490
kmazurek172,kmazurek+172,Albert,Woroch,XGD660060,6435348966,1995-10-30,95103024310,532603704,PL07581157115729779888219081
kmazurek173,kmazurek+173,Gaja,Chwedczuk,FUK354867,8613819269,1934-10-19,34101935790,789537936,PL67628929681437200688827017
kmazurek174,kmazurek+174,Dominik,Ziegler,LIL495385,2844722035,1973-03-23,73032390614,691300624,PL12899862326750728172662903
kmazurek175,kmazurek+175,Marcel,Rubaj,HES996689,8183617119,1969-07-01,69070142272,506956398,PL90221793101565332143443094
kmazurek176,kmazurek+176,Marianna,Chodak,HBE156875,3215548733,1955-03-16,55031621049,220035805,PL45625518291530584656811018
kmazurek177,kmazurek+177,Arkadiusz,Sulik,OWE056966,5790884727,1991-08-28,91082807670,510310141,PL90182123156103687341544297
kmazurek178,kmazurek+178,Karina,Faryna,GWQ615930,7520597611,1959-07-05,59070521465,506585510,PL45170457046051019998558586
kmazurek179,kmazurek+179,Olgierd,Węgrzynowicz,VCD687791,4344002586,1952-01-10,52011029042,723830146,PL97707512831525907780873008
kmazurek180,kmazurek+180,Konrad,Fogel,PAS782554,6221710513,1998-10-01,98100119498,793081925,PL91731411770200402899814990
kmazurek181,kmazurek+181,Borys,Chachaj,BEU301498,6119971784,1958-10-24,58102429081,661685364,PL69659213647278474430794210
kmazurek182,kmazurek+182,Iwo,Klaja,UZH900010,5867351940,1940-08-12,40081278105,696880377,PL13596113021642448507943176
kmazurek183,kmazurek+183,Marek,Karczmarek,BCN698182,1086758544,1978-05-18,78051883549,531272408,PL63035958042042910692684911
kmazurek184,kmazurek+184,Krzysztof,Gumienny,CPP194967,3559948813,1970-10-07,70100725013,880579802,PL09349910800918528481166873
kmazurek185,kmazurek+185,Jerzy,Sudnik,CQT806852,7929010404,1973-10-25,73102527324,797848105,PL57787584601683642711310859
kmazurek186,kmazurek+186,Sylwia,Grymuza,YFU747669,6438064011,1931-12-09,31120964189,884331638,PL80068879268410555131429028
kmazurek187,kmazurek+187,Gabriel,Armatys,XAI684553,6897427281,1990-07-20,90072085968,325412707,PL28930235533389709126535109
kmazurek188,kmazurek+188,Marcelina,Szymocha,IXD274377,1338530511,1947-12-27,47122702450,799292614,PL26292450153528675662861699
kmazurek189,kmazurek+189,Ksawery,Pacewicz,AZW807538,3684321893,1997-04-12,97041207608,735020163,PL47993652496703942183024745
kmazurek190,kmazurek+190,Ida,Wyrobek,NWG227743,9218220195,1945-04-02,45040225215,227468597,PL04324965954497181780862128
kmazurek191,kmazurek+191,Bartek,Pryk,LFZ140208,9281637773,1957-06-14,57061456442,730361828,PL05970930435399229765214936
kmazurek192,kmazurek+192,Mieszko,Majewicz,YQA590873,5585997341,1999-11-27,99112785363,738610833,PL93146358942392547449523845
kmazurek193,kmazurek+193,Kaja,Tomzik,UWG904935,4932559110,1932-12-09,32120928942,690045637,PL52924646733069367434678660
kmazurek194,kmazurek+194,Konstanty,Pastuszko,EGJ938737,4585008136,1991-05-15,91051530679,780187524,PL35424468355285421552428168
kmazurek195,kmazurek+195,Borys,Chomik,UWY886776,1875833232,1982-02-02,82020295141,329240743,PL97279468953315665850608139
kmazurek196,kmazurek+196,Ksawery,Fechner,AKD539053,7211445553,1999-11-03,99110375029,225951383,PL11636402708039006070685045
kmazurek197,kmazurek+197,Nikodem,Hudzik,GOL593257,6233023043,1937-08-08,37080810591,728708749,PL03350640009845063412363793
kmazurek198,kmazurek+198,Ada,Słomiany,MGR463651,4772712777,1934-07-15,34071502251,883884189,PL80509142834862235903872227
kmazurek199,kmazurek+199,Agnieszka,Ludwik,HKP970932,2789469263,1972-05-01,72050159355,724923618,PL26053928732161482211694261
kmazurek200,kmazurek+200,Leonard,Kolber,RCB318242,6075285760,1955-01-25,55012581146,695858991,PL74871976923866142822101985
kmazurek201,kmazurek+201,Agnieszka,Kochanowicz,OST259173,3558211358,1973-08-08,73080859897,785900190,PL20235779051852708494401019
kmazurek202,kmazurek+202,Maciej,Kawala,NDO972918,2043689682,1977-06-25,77062523796,532313349,PL67977768295177867707933740
kmazurek203,kmazurek+203,Marcelina,Żołądź,GVG866412,8699090333,1980-08-29,80082962377,511371357,PL23775217030355728119450632
kmazurek204,kmazurek+204,Borys,Obst,UUW073778,1886435848,1981-09-14,81091438842,724572709,PL76025854729114995608844964
kmazurek205,kmazurek+205,Marek,Pikula,HND262115,2886106387,1955-03-11,55031164414,574747765,PL75459113974903689192516578
kmazurek206,kmazurek+206,Krystyna,Cyba,IYN580187,4834568131,1997-09-10,97091044745,534713474,PL29655021066088241170620115
kmazurek207,kmazurek+207,Hubert,Molka,TVH765412,3559955598,1932-07-04,32070443636,516228813,PL19580566731445828707097138
kmazurek208,kmazurek+208,Wiktor,Kucab,BTC408282,5196009343,1994-11-13,94111308780,329300364,PL56493658947293093477888101
kmazurek209,kmazurek+209,Maurycy,Widuch,YNT093071,8263936944,1963-02-03,63020333772,220527730,PL64288866111026975863344641
kmazurek210,kmazurek+210,Kamila,Jargiło,MCL102042,9974986090,1951-03-18,51031811752,538738215,PL39136861511508626137585253
kmazurek211,kmazurek+211,Stefan,Pusz,YXZ376891,7265795074,1965-02-24,65022475546,780987754,PL97795781951020154534568910
kmazurek212,kmazurek+212,Marcel,Chachuła,SPN171658,8924781209,1936-06-20,36062071715,692235716,PL56298344274857499685599518
kmazurek213,kmazurek+213,Olaf,Majsterek,QLU603808,3410807181,1966-05-08,66050851683,738267540,PL67591582860336277080038902
